Order ID,Order Date,Ship Date,Ship Mode,Customer ID
CA-2016-126158,7/25/2016,7/31/2016,Standard Class,SC-20095
CA-2016-126158,7/25/2016,7/31/2016,Standard Class,SC-20095
CA-2016-126158,7/25/2016,7/31/2016,Standard Class,SC-20095
US-2016-105578,5/30/2016,6/4/2016,Standard Class,MY-17380
CA-2017-135307,11/26/2017,11/27/2017,First Class,LS-17245
CA-2017-145142,1/23/2017,1/25/2017,First Class,MC-17605
CA-2017-113558,10/21/2017,10/26/2017,Standard Class,PH-18790
CA-2017-113558,10/21/2017,10/26/2017,Standard Class,PH-18790
CA-2015-102848,11/7/2015,11/9/2015,Second Class,KB-16240
US-2017-129441,9/7/2017,9/11/2017,Standard Class,JC-15340
CA-2015-134894,12/7/2015,12/11/2015,Standard Class,DK-12985
CA-2014-103849,5/11/2014,5/16/2014,Standard Class,PG-18895
CA-2016-136406,4/15/2016,4/17/2016,Second Class,BD-11320
CA-2017-112774,9/11/2017,9/12/2017,First Class,RC-19960
CA-2016-113243,6/10/2016,6/15/2016,Standard Class,OT-18730
CA-2017-118731,11/20/2017,11/22/2017,Second Class,LP-17080
CA-2014-145576,9/14/2014,9/18/2014,Second Class,CA-12775
CA-2017-156951,10/1/2017,10/8/2017,Standard Class,EB-13840
CA-2017-118640,7/20/2017,7/26/2017,Standard Class,CS-11950
CA-2015-128139,7/3/2015,7/9/2015,Standard Class,BD-11725
CA-2014-131450,8/8/2014,8/15/2014,Standard Class,LR-16915
CA-2014-149958,3/15/2014,3/19/2014,Standard Class,AS-10240
CA-2017-117947,8/18/2017,8/23/2017,Second Class,NG-18355
CA-2017-117947,8/18/2017,8/23/2017,Second Class,NG-18355
CA-2017-117947,8/18/2017,8/23/2017,Second Class,NG-18355
CA-2015-138009,11/29/2015,12/3/2015,Standard Class,SF-20965
CA-2017-163020,9/15/2017,9/19/2017,Standard Class,MO-17800
CA-2015-168004,10/4/2015,10/9/2015,Second Class,DJ-13420
CA-2016-115917,5/20/2016,5/25/2016,Standard Class,RB-19465
CA-2016-147067,12/18/2016,12/22/2016,Standard Class,JD-16150
CA-2016-160745,12/11/2016,12/16/2016,Second Class,AR-10825
US-2016-156097,9/19/2016,9/19/2016,Same Day,EH-14125
CA-2015-146563,8/24/2015,8/28/2015,Standard Class,CB-12025
CA-2014-156314,12/24/2014,12/26/2014,First Class,RP-19390
US-2017-106663,6/9/2017,6/13/2017,Standard Class,MO-17800
US-2017-106663,6/9/2017,6/13/2017,Standard Class,MO-17800
US-2017-119438,3/18/2017,3/23/2017,Standard Class,CD-11980
CA-2017-161480,12/25/2017,12/29/2017,Standard Class,RA-19285
US-2014-117135,6/21/2014,6/23/2014,Second Class,NP-18325
CA-2017-114552,9/2/2017,9/8/2017,Standard Class,Dl-13600
CA-2016-163755,11/4/2016,11/8/2016,Second Class,AS-10285
CA-2015-142027,4/9/2015,4/14/2015,Standard Class,JK-15370
CA-2014-112158,12/2/2014,12/4/2014,First Class,DP-13165
CA-2014-130092,1/11/2014,1/14/2014,First Class,SV-20365
CA-2017-108910,9/24/2017,9/29/2017,Standard Class,KC-16540
CA-2014-104472,6/2/2014,6/7/2014,Standard Class,CK-12325
CA-2016-142335,12/15/2016,12/19/2016,Standard Class,MP-17965
CA-2014-117429,10/7/2014,10/13/2014,Standard Class,MR-17545
US-2016-150861,12/3/2016,12/6/2016,First Class,EG-13900
US-2016-150861,12/3/2016,12/6/2016,First Class,EG-13900
CA-2017-131954,1/21/2017,1/25/2017,Standard Class,DS-13030
CA-2014-124429,5/27/2014,5/27/2014,Same Day,MH-17785
CA-2017-126074,10/2/2017,10/6/2017,Standard Class,RF-19735
CA-2015-135272,12/7/2015,12/12/2015,Standard Class,MS-17830
CA-2016-140928,9/18/2016,9/22/2016,Standard Class,NB-18655
CA-2014-106810,5/14/2014,5/20/2014,Standard Class,AJ-10795
CA-2016-157245,5/19/2016,5/24/2016,Standard Class,LE-16810
CA-2017-104220,1/30/2017,2/5/2017,Standard Class,BV-11245
CA-2015-144267,8/21/2015,8/23/2015,First Class,NZ-18565
US-2015-157014,10/3/2015,10/6/2015,Second Class,BM-11785
CA-2015-154620,12/12/2015,12/16/2015,Standard Class,LT-17110
CA-2015-115938,6/26/2015,6/30/2015,Standard Class,SA-20830
CA-2015-101910,11/27/2015,12/3/2015,Standard Class,CD-11920
CA-2017-105809,2/20/2017,2/23/2017,First Class,HW-14935
CA-2017-135783,4/22/2017,4/24/2017,First Class,GM-14440
CA-2015-140921,2/3/2015,2/5/2015,First Class,AA-10375
CA-2014-151995,10/13/2014,10/15/2014,First Class,ZC-21910
CA-2017-143686,5/14/2017,5/14/2017,Same Day,PJ-19015
CA-2014-140858,6/28/2014,7/2/2014,Standard Class,CA-12775
CA-2017-129462,6/16/2017,6/21/2017,Second Class,JE-15745
CA-2015-100454,11/20/2015,11/25/2015,Standard Class,BM-11650
CA-2015-114300,10/13/2015,10/17/2015,Standard Class,AF-10885
CA-2017-107503,1/1/2017,1/6/2017,Standard Class,GA-14725
CA-2016-123274,2/19/2016,2/24/2016,Standard Class,GT-14710
CA-2014-149020,1/10/2014,1/15/2014,Standard Class,AJ-10780
CA-2016-116736,1/17/2016,1/21/2016,Standard Class,CC-12430
CA-2017-111689,11/30/2017,12/2/2017,Second Class,HP-14815
CA-2016-165148,10/22/2016,10/24/2016,First Class,PM-19135
CA-2014-134061,4/29/2014,5/4/2014,Standard Class,LL-16840
CA-2017-143259,12/30/2017,1/3/2018,Standard Class,PO-18865
CA-2015-133627,5/31/2015,6/7/2015,Standard Class,SC-20050
CA-2017-102519,11/27/2017,11/29/2017,First Class,BM-11650
US-2014-141215,6/15/2014,6/21/2014,Standard Class,KL-16555
US-2014-141215,6/15/2014,6/21/2014,Standard Class,KL-16555
CA-2016-142958,12/13/2016,12/20/2016,Standard Class,RW-19630
US-2015-140200,7/26/2015,7/28/2015,First Class,CA-12775
US-2017-110576,11/28/2017,12/2/2017,Standard Class,RB-19795
US-2017-110576,11/28/2017,12/2/2017,Standard Class,RB-19795
US-2017-110576,11/28/2017,12/2/2017,Standard Class,RB-19795
CA-2017-131156,4/3/2017,4/7/2017,Standard Class,KH-16360
CA-2017-136539,12/28/2017,1/1/2018,Standard Class,GH-14665
CA-2015-112571,9/22/2015,9/22/2015,Same Day,DL-12925
CA-2017-152142,11/14/2017,11/19/2017,Standard Class,LW-16990
CA-2014-115791,1/16/2014,1/18/2014,Second Class,DL-13315
CA-2016-144939,10/3/2016,10/8/2016,Standard Class,EB-13870
CA-2014-163419,11/11/2014,11/14/2014,Second Class,TZ-21580
CA-2017-167899,5/21/2017,5/26/2017,Standard Class,JG-15805
CA-2015-153549,3/29/2015,3/31/2015,Second Class,SL-20155
CA-2015-162537,10/28/2015,11/3/2015,Standard Class,RD-19585
CA-2015-162537,10/28/2015,11/3/2015,Standard Class,RD-19585
CA-2015-124891,7/31/2015,7/31/2015,Same Day,RH-19495
CA-2014-158540,11/24/2014,11/26/2014,First Class,VG-21790
CA-2017-118437,6/17/2017,6/21/2017,Second Class,PF-19165
US-2015-126214,12/21/2015,12/24/2015,Second Class,JS-15880
CA-2015-108665,7/6/2015,7/10/2015,Standard Class,KM-16225
CA-2015-108665,7/6/2015,7/10/2015,Standard Class,KM-16225
CA-2015-124450,4/27/2015,5/3/2015,Standard Class,GT-14710
CA-2014-163552,7/11/2014,7/15/2014,Standard Class,LA-16780
CA-2014-163552,7/11/2014,7/15/2014,Standard Class,LA-16780
CA-2016-113061,4/22/2016,4/26/2016,Standard Class,EL-13735
CA-2016-127670,3/20/2016,3/24/2016,Standard Class,RD-19660
CA-2016-102981,9/6/2016,9/9/2016,Second Class,MO-17500
CA-2017-152702,10/12/2017,10/16/2017,Standard Class,SN-20710
CA-2016-169103,3/8/2016,3/13/2016,Standard Class,ZC-21910
US-2015-153500,7/3/2015,7/5/2015,First Class,DG-13300
US-2015-153500,7/3/2015,7/5/2015,First Class,DG-13300
CA-2015-110667,4/4/2015,4/8/2015,Standard Class,NF-18595
US-2015-125374,3/23/2015,3/29/2015,Standard Class,JD-16060
CA-2016-157686,10/1/2016,10/2/2016,First Class,BD-11620
CA-2015-110016,11/29/2015,12/4/2015,Standard Class,BT-11395
US-2016-143819,3/1/2016,3/5/2016,Standard Class,KD-16270
CA-2017-158407,6/4/2017,6/10/2017,Standard Class,LW-16990
CA-2014-159338,6/25/2014,6/28/2014,First Class,NS-18640
CA-2016-107216,6/14/2016,6/17/2016,First Class,PV-18985
US-2016-110156,11/19/2016,11/24/2016,Standard Class,EH-13945
CA-2017-140585,12/18/2017,12/23/2017,Second Class,RA-19915
US-2014-147627,1/20/2014,1/26/2014,Standard Class,HL-15040
US-2014-147627,1/20/2014,1/26/2014,Standard Class,HL-15040
CA-2016-112102,4/12/2016,4/16/2016,Standard Class,BD-11605
CA-2014-146969,9/29/2014,10/3/2014,Standard Class,AP-10915
CA-2015-113971,5/8/2015,5/14/2015,Standard Class,CB-12535
CA-2014-136567,12/20/2014,12/21/2014,First Class,PS-19045
CA-2014-136567,12/20/2014,12/21/2014,First Class,PS-19045
CA-2016-149314,7/2/2016,7/7/2016,Second Class,GB-14530
CA-2017-145226,12/8/2017,12/10/2017,Second Class,DL-13315
CA-2016-113621,12/1/2016,12/5/2016,Standard Class,JE-15745
CA-2017-117212,2/26/2017,2/28/2017,Second Class,BT-11530
US-2015-130519,9/15/2015,9/15/2015,Same Day,NG-18355
US-2015-130519,9/15/2015,9/15/2015,Same Day,NG-18355
CA-2016-130946,4/8/2016,4/12/2016,Standard Class,ZC-21910
CA-2016-114727,7/18/2016,7/24/2016,Standard Class,LS-16945
CA-2016-114727,7/18/2016,7/24/2016,Standard Class,LS-16945
CA-2016-137050,7/14/2016,7/18/2016,Second Class,SW-20755
US-2017-118087,9/9/2017,9/13/2017,Standard Class,SP-20620
US-2017-118087,9/9/2017,9/13/2017,Standard Class,SP-20620
CA-2016-126004,12/4/2016,12/5/2016,First Class,BM-11140
CA-2017-100013,11/6/2017,11/11/2017,Standard Class,ZC-21910
CA-2016-144344,10/28/2016,10/28/2016,Same Day,PG-18820
CA-2016-144344,10/28/2016,10/28/2016,Same Day,PG-18820
CA-2016-144344,10/28/2016,10/28/2016,Same Day,PG-18820
CA-2014-127012,8/11/2014,8/15/2014,Standard Class,GM-14680
CA-2014-168494,12/12/2014,12/14/2014,Second Class,NP-18700
CA-2014-168494,12/12/2014,12/14/2014,Second Class,NP-18700
CA-2014-168494,12/12/2014,12/14/2014,Second Class,NP-18700
CA-2017-115602,12/18/2017,12/24/2017,Standard Class,DJ-13630
CA-2017-144638,3/10/2017,3/14/2017,Standard Class,MH-18115
CA-2017-144638,3/10/2017,3/14/2017,Standard Class,MH-18115
CA-2016-155992,10/1/2016,10/2/2016,First Class,CC-12220
US-2014-167738,12/24/2014,12/29/2014,Standard Class,JC-16105
CA-2017-121412,9/23/2017,9/27/2017,Standard Class,BG-11695
CA-2016-119186,5/26/2016,5/26/2016,Same Day,MS-17710
CA-2016-154711,11/22/2016,11/26/2016,Standard Class,TB-21355
CA-2016-137043,12/23/2016,12/25/2016,Second Class,LC-17140
CA-2016-137043,12/23/2016,12/25/2016,Second Class,LC-17140
CA-2015-115847,9/19/2015,9/24/2015,Second Class,TC-21535
US-2017-126179,7/3/2017,7/7/2017,Standard Class,CS-12460
CA-2016-141397,6/20/2016,6/21/2016,First Class,RC-19825
US-2016-134488,9/24/2016,10/1/2016,Standard Class,PK-19075
CA-2016-145919,12/18/2016,12/23/2016,Standard Class,HG-14965
CA-2015-120439,6/14/2015,6/18/2015,Standard Class,AD-10180
CA-2016-142762,5/23/2016,5/27/2016,Standard Class,LD-17005
US-2017-123281,4/2/2017,4/7/2017,Standard Class,JF-15190
CA-2017-100524,3/31/2017,4/2/2017,Second Class,CM-12115
CA-2014-153976,10/3/2014,10/8/2014,Second Class,BP-11290
CA-2017-162978,5/4/2017,5/9/2017,Standard Class,LW-16990
CA-2017-160045,4/26/2017,4/27/2017,First Class,LB-16735
US-2014-151925,9/26/2014,10/1/2014,Second Class,KT-16465
US-2017-155425,11/10/2017,11/11/2017,First Class,AB-10600
CA-2017-133249,7/8/2017,7/11/2017,First Class,SZ-20035
US-2015-103471,12/24/2015,12/28/2015,Standard Class,JR-15670
CA-2015-120362,9/14/2015,9/19/2015,Standard Class,CA-12265
US-2016-100566,9/3/2016,9/9/2016,Standard Class,JK-16120
US-2016-108504,2/5/2016,2/5/2016,Same Day,PP-18955
US-2016-108504,2/5/2016,2/5/2016,Same Day,PP-18955
US-2017-117247,10/9/2017,10/14/2017,Standard Class,CK-12760
US-2017-117247,10/9/2017,10/14/2017,Standard Class,CK-12760
US-2016-161396,4/19/2016,4/25/2016,Standard Class,GM-14455
US-2014-118486,4/6/2014,4/8/2014,First Class,SD-20485
CA-2016-130407,9/2/2016,9/6/2016,Standard Class,KD-16270
US-2016-122245,9/25/2016,9/30/2016,Standard Class,AB-10105
CA-2016-136329,7/9/2016,7/13/2016,Standard Class,JD-15895
CA-2016-136329,7/9/2016,7/13/2016,Standard Class,JD-15895
CA-2017-115994,1/28/2017,1/31/2017,Second Class,BT-11305
CA-2015-126697,9/21/2015,9/24/2015,First Class,SV-20815
CA-2014-120768,12/19/2014,12/21/2014,Second Class,IM-15070
CA-2015-139731,10/15/2015,10/15/2015,Same Day,JE-15745
CA-2017-102337,6/13/2017,6/16/2017,First Class,SD-20485
CA-2017-148474,6/12/2017,6/19/2017,Standard Class,ME-17320
CA-2014-155271,5/4/2014,5/4/2014,Same Day,AA-10480
US-2016-128902,3/11/2016,3/15/2016,Standard Class,MB-18085
CA-2016-152289,8/26/2016,8/28/2016,First Class,LC-16930
CA-2014-151708,8/8/2014,8/14/2014,Standard Class,MB-17305
CA-2017-139199,12/9/2017,12/13/2017,Standard Class,DK-12835
US-2015-105676,12/1/2015,12/2/2015,Same Day,NM-18520
CA-2015-140410,11/3/2015,11/7/2015,Standard Class,CM-12655
CA-2017-166436,11/24/2017,11/28/2017,Standard Class,TS-21370
CA-2017-139661,10/30/2017,11/3/2017,Standard Class,JW-15220
CA-2016-100468,11/24/2016,12/1/2016,Standard Class,AT-10435
CA-2015-153388,8/1/2015,8/7/2015,Standard Class,PC-19000
CA-2017-103611,9/12/2017,9/15/2017,First Class,JM-15535
US-2017-160759,12/11/2017,12/17/2017,Standard Class,AI-10855
CA-2017-148446,12/10/2017,12/14/2017,Second Class,MC-17845
CA-2015-144806,12/6/2015,12/11/2015,Standard Class,GH-14425
CA-2016-122392,7/22/2016,7/27/2016,Standard Class,CJ-12010
CA-2017-124086,2/10/2017,2/14/2017,Standard Class,MP-18175
CA-2017-121888,9/15/2017,9/17/2017,Second Class,CL-11890
CA-2014-166884,3/11/2014,3/16/2014,Second Class,CK-12205
CA-2014-150245,12/31/2014,1/4/2015,Second Class,PC-18745
CA-2015-112116,3/16/2015,3/18/2015,Second Class,JE-15475
US-2017-102890,6/30/2017,6/30/2017,Same Day,SG-20470
US-2014-157385,11/23/2014,11/25/2014,First Class,SC-20095
US-2014-157385,11/23/2014,11/25/2014,First Class,SC-20095
CA-2014-101602,12/15/2014,12/18/2014,First Class,MC-18100
CA-2015-131338,8/9/2015,8/12/2015,First Class,NP-18325
CA-2015-131338,8/9/2015,8/12/2015,First Class,NP-18325
CA-2015-131338,8/9/2015,8/12/2015,First Class,NP-18325
CA-2015-118423,3/24/2015,3/27/2015,First Class,DP-13390
CA-2017-149181,5/8/2017,5/12/2017,Standard Class,MD-17350
CA-2017-132234,10/16/2017,10/18/2017,First Class,MY-17380
CA-2017-158876,11/19/2017,11/21/2017,Second Class,AB-10150
CA-2016-164672,5/8/2016,5/13/2016,Second Class,GB-14530
CA-2014-156349,5/26/2014,5/30/2014,Standard Class,ML-17395
CA-2017-108560,7/8/2017,7/15/2017,Standard Class,JC-15385
CA-2015-143119,9/24/2015,9/30/2015,Standard Class,MC-17275
CA-2017-101049,6/21/2017,6/25/2017,Second Class,AS-10240
CA-2016-157266,5/26/2016,6/1/2016,Standard Class,TB-21280
CA-2014-127159,5/12/2014,5/15/2014,First Class,HL-15040
US-2015-157154,1/10/2015,1/15/2015,Standard Class,MM-17920
CA-2015-143077,9/17/2015,9/21/2015,Standard Class,SF-20965
CA-2014-122882,9/7/2014,9/13/2014,Standard Class,SB-20290
CA-2016-147585,11/7/2016,11/12/2016,Standard Class,CB-12535
CA-2017-143798,12/10/2017,12/12/2017,First Class,AW-10840
CA-2014-142839,8/16/2014,8/20/2014,Standard Class,TS-21610
US-2016-154361,3/14/2016,3/19/2016,Standard Class,HZ-14950
CA-2014-135657,6/3/2014,6/7/2014,Second Class,SC-20725
CA-2015-114069,7/13/2015,7/15/2015,Second Class,ND-18370
CA-2017-123491,10/30/2017,11/5/2017,Standard Class,JK-15205
US-2017-124968,9/8/2017,9/13/2017,Second Class,MM-18055
CA-2017-104003,10/7/2017,10/13/2017,Standard Class,DC-13285
CA-2016-169943,5/19/2016,5/24/2016,Standard Class,BN-11515
CA-2016-169943,5/19/2016,5/24/2016,Standard Class,BN-11515
US-2015-123218,12/20/2015,12/25/2015,Standard Class,KD-16345
US-2017-164056,4/29/2017,5/4/2017,Second Class,FM-14215
CA-2017-152807,10/30/2017,11/3/2017,Standard Class,MC-18100
CA-2015-139094,11/22/2015,11/27/2015,Standard Class,MO-17800
CA-2017-168837,10/14/2017,10/17/2017,First Class,JW-15955
CA-2015-130785,9/5/2015,9/9/2015,Standard Class,AG-10900
CA-2015-130785,9/5/2015,9/9/2015,Standard Class,AG-10900
CA-2016-110254,8/4/2016,8/8/2016,Standard Class,ML-17755
CA-2014-120474,12/1/2014,12/3/2014,First Class,RP-19390
CA-2016-100965,7/7/2016,7/11/2016,Standard Class,RM-19375
CA-2016-149461,11/13/2016,11/19/2016,Standard Class,AS-10135
CA-2016-165484,10/23/2016,10/29/2016,Standard Class,HK-14890
CA-2014-132612,6/9/2014,6/11/2014,Second Class,FO-14305
US-2017-161193,11/20/2017,11/26/2017,Standard Class,BT-11680
US-2017-161193,11/20/2017,11/26/2017,Standard Class,BT-11680
CA-2015-131597,9/14/2015,9/18/2015,Standard Class,SP-20620
US-2014-130379,5/25/2014,5/29/2014,Standard Class,JL-15235
CA-2016-168956,2/16/2016,2/20/2016,Standard Class,EA-14035
CA-2016-167507,12/22/2016,12/28/2016,Standard Class,SA-20830
CA-2016-167507,12/22/2016,12/28/2016,Standard Class,SA-20830
CA-2017-145884,10/21/2017,10/21/2017,Same Day,SL-20155
CA-2015-131422,11/5/2015,11/9/2015,Standard Class,GB-14530
CA-2014-117345,8/1/2014,8/5/2014,Standard Class,BF-10975
CA-2016-157763,7/18/2016,7/23/2016,Standard Class,KH-16330
CA-2015-135391,2/9/2015,2/11/2015,Second Class,FA-14230
US-2017-158512,1/12/2017,1/17/2017,Second Class,DA-13450
CA-2017-128370,9/10/2017,9/10/2017,Same Day,FH-14275
US-2017-121251,3/26/2017,3/27/2017,First Class,GM-14440
US-2016-100839,10/13/2016,10/17/2016,Standard Class,NC-18625
US-2016-100839,10/13/2016,10/17/2016,Standard Class,NC-18625
CA-2017-118857,4/15/2017,4/18/2017,First Class,AH-10075
CA-2014-116932,7/21/2014,7/25/2014,Standard Class,ME-18010
CA-2014-116932,7/21/2014,7/25/2014,Standard Class,ME-18010
CA-2017-142888,11/21/2017,11/25/2017,Standard Class,BP-11230
US-2016-112977,3/10/2016,3/16/2016,Standard Class,CJ-12010
CA-2017-118885,12/29/2017,1/2/2018,Standard Class,JG-15160
CA-2015-109512,3/5/2015,3/5/2015,Same Day,LF-17185
CA-2016-147578,4/22/2016,4/26/2016,Second Class,PG-18895
CA-2014-142587,10/21/2014,10/22/2014,First Class,TB-21520
CA-2014-169775,8/29/2014,9/2/2014,Second Class,RA-19945
CA-2017-167094,10/21/2017,10/22/2017,First Class,DK-12835
CA-2015-157959,2/3/2015,2/4/2015,First Class,RW-19540
CA-2017-105886,12/18/2017,12/23/2017,Standard Class,DB-13660
US-2017-111423,8/17/2017,8/19/2017,First Class,EH-13765
CA-2017-161200,8/6/2017,8/10/2017,Second Class,SV-20365
CA-2017-161200,8/6/2017,8/10/2017,Second Class,SV-20365
CA-2015-141768,5/25/2015,5/27/2015,Second Class,NP-18685
CA-2016-112109,7/8/2016,7/12/2016,Standard Class,JE-15715
CA-2017-157987,9/2/2017,9/6/2017,Standard Class,AC-10615
