Order_ID,Order_Date,Ship_Date,Ship_Mode,Customer_ID,NewOrderID,NewCustomerID
US-2016-166660,2016-01-30,2016-02-01,Second Class,TB-21250,US-2016-166660-0,TB-21250-0
CA-2017-142909,2017-12-22,2017-12-25,Second Class,AG-10330,CA-2017-142909-0,AG-10330-0
CA-2014-123295,2014-07-18,2014-07-18,Same Day,AH-10120,CA-2014-123295-0,AH-10120-0
CA-2016-145261,2016-12-18,2016-12-21,First Class,AH-10120,CA-2016-145261-0,AH-10120-1
CA-2015-142734,2015-04-16,2015-04-21,Standard Class,DM-13345,CA-2015-142734-0,DM-13345-0
CA-2016-129861,2016-06-17,2016-06-23,Standard Class,DM-13345,CA-2016-129861-0,DM-13345-1
CA-2017-157854,2017-04-08,2017-04-15,Standard Class,DM-13345,CA-2017-157854-0,DM-13345-2
CA-2017-104801,2017-02-13,2017-02-19,Standard Class,FH-14350,CA-2017-104801-0,FH-14350-0
US-2017-167318,2017-07-26,2017-08-01,Standard Class,GZ-14545,US-2017-167318-0,GZ-14545-0
CA-2016-138695,2016-05-28,2016-06-03,Standard Class,KC-16675,CA-2016-138695-0,KC-16675-0
CA-2017-142636,2017-11-03,2017-11-07,Standard Class,KC-16675,CA-2017-142636-0,KC-16675-1
US-2016-102239,2016-05-05,2016-05-06,First Class,LW-16990,US-2016-102239-0,LW-16990-0
CA-2017-162978,2017-05-04,2017-05-09,Standard Class,LW-16990,CA-2017-162978-0,LW-16990-1
CA-2017-158407,2017-06-04,2017-06-10,Standard Class,LW-16990,CA-2017-158407-0,LW-16990-2
CA-2017-152142,2017-11-14,2017-11-19,Standard Class,LW-16990,CA-2017-152142-0,LW-16990-3
CA-2014-149594,2014-09-15,2014-09-19,Standard Class,MF-18250,CA-2014-149594-0,MF-18250-0
CA-2015-144722,2015-03-16,2015-03-23,Standard Class,MF-18250,CA-2015-144722-0,MF-18250-1
CA-2015-128013,2015-08-09,2015-08-16,Standard Class,MF-18250,CA-2015-128013-0,MF-18250-2
CA-2015-139094,2015-11-22,2015-11-27,Standard Class,MO-17800,CA-2015-139094-0,MO-17800-0
CA-2017-169054,2017-04-22,2017-04-26,Standard Class,MO-17800,CA-2017-169054-0,MO-17800-1
US-2017-106663,2017-06-09,2017-06-13,Standard Class,MO-17800,US-2017-106663-0,MO-17800-2
CA-2017-163020,2017-09-15,2017-09-19,Standard Class,MO-17800,CA-2017-163020-0,MO-17800-3
CA-2017-157931,2017-09-17,2017-09-22,Second Class,MO-17800,CA-2017-157931-0,MO-17800-4
CA-2014-169460,2014-04-19,2014-04-21,Second Class,NF-18595,CA-2014-169460-0,NF-18595-0
US-2014-131870,2014-09-09,2014-09-11,First Class,NF-18595,US-2014-131870-0,NF-18595-1
US-2015-139675,2015-03-13,2015-03-18,Second Class,NF-18595,US-2015-139675-0,NF-18595-2
CA-2015-110667,2015-04-04,2015-04-08,Standard Class,NF-18595,CA-2015-110667-0,NF-18595-3
CA-2016-136371,2016-03-19,2016-03-21,Second Class,SV-20935,CA-2016-136371-0,SV-20935-0
US-2017-147669,2017-12-25,2017-12-30,Standard Class,SV-20935,US-2017-147669-0,SV-20935-1
CA-2014-156790,2014-08-08,2014-08-10,Second Class,VG-21790,CA-2014-156790-0,VG-21790-0
CA-2014-158540,2014-11-24,2014-11-26,First Class,VG-21790,CA-2014-158540-0,VG-21790-1
US-2017-115301,2017-07-29,2017-08-02,Standard Class,VG-21790,US-2017-115301-0,VG-21790-2
CA-2014-168368,2014-02-11,2014-02-15,Second Class,GA-14725,CA-2014-168368-0,GA-14725-0
CA-2014-131247,2014-03-30,2014-04-04,Standard Class,GA-14725,CA-2014-131247-0,GA-14725-1
US-2015-126235,2015-10-15,2015-10-15,Same Day,GA-14725,US-2015-126235-0,GA-14725-2
CA-2017-107503,2017-01-01,2017-01-06,Standard Class,GA-14725,CA-2017-107503-0,GA-14725-3
CA-2015-139850,2015-06-12,2015-06-17,Standard Class,GB-14575,CA-2015-139850-0,GB-14575-0
CA-2015-158421,2015-09-21,2015-09-26,Standard Class,GB-14575,CA-2015-158421-0,GB-14575-1
CA-2016-137337,2016-03-08,2016-03-12,Standard Class,GB-14575,CA-2016-137337-0,GB-14575-2
US-2014-155544,2014-03-21,2014-03-25,Standard Class,GM-14440,US-2014-155544-0,GM-14440-0
CA-2014-154893,2014-12-21,2014-12-27,Standard Class,GM-14440,CA-2014-154893-0,GM-14440-1
US-2017-121251,2017-03-26,2017-03-27,First Class,GM-14440,US-2017-121251-0,GM-14440-2
CA-2017-135783,2017-04-22,2017-04-24,First Class,GM-14440,CA-2017-135783-0,GM-14440-3
US-2017-168613,2017-10-08,2017-10-14,Standard Class,GM-14440,US-2017-168613-0,GM-14440-4
CA-2015-111038,2015-12-01,2015-12-06,Standard Class,LC-16960,CA-2015-111038-0,LC-16960-0
CA-2016-105753,2016-10-20,2016-10-26,Standard Class,LC-16960,CA-2016-105753-0,LC-16960-1
CA-2015-153038,2015-12-18,2015-12-25,Standard Class,RB-19645,CA-2015-153038-0,RB-19645-0
CA-2015-119550,2015-12-26,2015-12-31,Standard Class,RB-19705,CA-2015-119550-0,RB-19705-0
CA-2017-152975,2017-09-14,2017-09-16,First Class,RB-19705,CA-2017-152975-0,RB-19705-1
CA-2017-120376,2017-12-22,2017-12-25,First Class,TP-21130,CA-2017-120376-0,TP-21130-0
CA-2014-166891,2014-10-04,2014-10-06,First Class,CC-12220,CA-2014-166891-0,CC-12220-0
CA-2016-145730,2016-03-03,2016-03-08,Standard Class,CC-12220,CA-2016-145730-0,CC-12220-1
CA-2016-155992,2016-10-01,2016-10-02,First Class,CC-12220,CA-2016-155992-0,CC-12220-2
US-2017-107888,2017-11-16,2017-11-19,First Class,CC-12220,US-2017-107888-0,CC-12220-3
CA-2015-104871,2015-03-30,2015-04-03,Standard Class,DR-12940,CA-2015-104871-0,DR-12940-0
CA-2015-104626,2015-09-01,2015-09-08,Standard Class,DR-12940,CA-2015-104626-0,DR-12940-1
CA-2016-160241,2016-11-29,2016-12-04,Second Class,DR-12940,CA-2016-160241-0,DR-12940-2
CA-2017-167549,2017-07-25,2017-07-27,First Class,EM-14200,CA-2017-167549-0,EM-14200-0
CA-2014-158029,2014-05-26,2014-05-30,Standard Class,HF-14995,CA-2014-158029-0,HF-14995-0
CA-2016-117681,2016-04-09,2016-04-14,Standard Class,HF-14995,CA-2016-117681-0,HF-14995-1
CA-2016-164784,2016-05-01,2016-05-04,First Class,HF-14995,CA-2016-164784-0,HF-14995-2
US-2016-147711,2016-09-03,2016-09-08,Second Class,HF-14995,US-2016-147711-0,HF-14995-3
CA-2016-104276,2016-11-27,2016-12-03,Standard Class,HF-14995,CA-2016-104276-0,HF-14995-4
CA-2015-132486,2015-10-23,2015-10-27,Second Class,JF-15355,CA-2015-132486-0,JF-15355-0
CA-2017-136651,2017-04-23,2017-04-25,Second Class,JF-15355,CA-2017-136651-0,JF-15355-1
CA-2015-142027,2015-04-09,2015-04-14,Standard Class,JK-15370,CA-2015-142027-0,JK-15370-0
CA-2016-122581,2016-08-21,2016-08-25,Standard Class,JK-15370,CA-2016-122581-0,JK-15370-1
CA-2016-163776,2016-07-19,2016-07-25,Standard Class,JS-16030,CA-2016-163776-0,JS-16030-0
CA-2017-163265,2017-02-16,2017-02-21,Standard Class,JS-16030,CA-2017-163265-0,JS-16030-1
US-2017-147221,2017-12-02,2017-12-04,Second Class,JS-16030,US-2017-147221-0,JS-16030-2
CA-2014-124856,2014-09-29,2014-10-03,Second Class,LD-17005,CA-2014-124856-0,LD-17005-0
CA-2016-142762,2016-05-23,2016-05-27,Standard Class,LD-17005,CA-2016-142762-0,LD-17005-1
US-2014-144078,2014-11-25,2014-11-29,Standard Class,RB-19435,US-2014-144078-0,RB-19435-0
US-2015-103996,2015-03-29,2015-03-31,Second Class,RB-19435,US-2015-103996-0,RB-19435-1
CA-2016-167605,2016-04-28,2016-04-30,Second Class,RB-19570,CA-2016-167605-0,RB-19570-0
US-2016-104815,2016-09-03,2016-09-07,Standard Class,RB-19570,US-2016-104815-0,RB-19570-1
CA-2016-159730,2016-09-17,2016-09-21,Standard Class,SJ-20125,CA-2016-159730-0,SJ-20125-0
CA-2017-166849,2017-04-20,2017-04-26,Standard Class,SJ-20125,CA-2017-166849-0,SJ-20125-1
CA-2017-105669,2017-09-17,2017-09-22,Second Class,SJ-20125,CA-2017-105669-0,SJ-20125-2
CA-2017-129490,2017-09-26,2017-09-30,Standard Class,SJ-20125,CA-2017-129490-0,SJ-20125-3
CA-2014-156160,2014-09-22,2014-09-29,Standard Class,AS-10090,CA-2014-156160-0,AS-10090-0
CA-2015-127509,2015-11-09,2015-11-13,Standard Class,AS-10090,CA-2015-127509-0,AS-10090-1
CA-2016-119865,2016-06-21,2016-06-26,Standard Class,AS-10090,CA-2016-119865-0,AS-10090-2
CA-2017-136448,2017-09-16,2017-09-18,First Class,AS-10090,CA-2017-136448-0,AS-10090-3
CA-2017-115105,2017-02-06,2017-02-11,Standard Class,BD-11770,CA-2017-115105-0,BD-11770-0
CA-2014-106264,2014-12-26,2014-12-30,Standard Class,CK-12595,CA-2014-106264-0,CK-12595-0
CA-2015-142237,2015-07-11,2015-07-13,First Class,CK-12595,CA-2015-142237-0,CK-12595-1
CA-2016-124233,2016-04-08,2016-04-14,Standard Class,CK-12595,CA-2016-124233-0,CK-12595-2
CA-2017-125745,2017-06-30,2017-07-04,Standard Class,DV-13045,CA-2017-125745-0,DV-13045-0
CA-2017-139773,2017-12-04,2017-12-04,Same Day,DV-13045,CA-2017-139773-0,DV-13045-1
CA-2017-168389,2017-12-11,2017-12-17,Standard Class,DV-13045,CA-2017-168389-0,DV-13045-2
CA-2016-113061,2016-04-22,2016-04-26,Standard Class,EL-13735,CA-2016-113061-0,EL-13735-0
CA-2015-149517,2015-09-19,2015-09-23,Standard Class,FC-14245,CA-2015-149517-0,FC-14245-0
CA-2016-166772,2016-09-20,2016-09-24,Standard Class,HJ-14875,CA-2016-166772-0,HJ-14875-0
CA-2016-110254,2016-08-04,2016-08-08,Standard Class,ML-17755,CA-2016-110254-0,ML-17755-0
CA-2017-103968,2017-12-01,2017-12-07,Standard Class,ML-17755,CA-2017-103968-0,ML-17755-1
CA-2017-100097,2017-11-26,2017-11-29,Second Class,MN-17935,CA-2017-100097-0,MN-17935-0
CA-2014-113257,2014-12-16,2014-12-18,Second Class,SC-20305,CA-2014-113257-0,SC-20305-0
CA-2015-164777,2015-01-27,2015-01-29,First Class,SC-20305,CA-2015-164777-0,SC-20305-1
CA-2016-101651,2016-12-24,2016-12-30,Standard Class,SC-20305,CA-2016-101651-0,SC-20305-2
CA-2017-122539,2017-12-01,2017-12-05,Standard Class,SC-20305,CA-2017-122539-0,SC-20305-3
CA-2015-152891,2015-10-25,2015-10-30,Standard Class,TB-21625,CA-2015-152891-0,TB-21625-0
CA-2015-156377,2015-12-31,2016-01-05,Standard Class,TB-21625,CA-2015-156377-0,TB-21625-1
CA-2017-120168,2017-05-25,2017-05-25,Same Day,TB-21625,CA-2017-120168-0,TB-21625-2
US-2017-165456,2017-11-30,2017-12-03,First Class,TB-21625,US-2017-165456-0,TB-21625-3
CA-2015-147788,2015-05-31,2015-06-04,Standard Class,TM-21010,CA-2015-147788-0,TM-21010-0
CA-2017-160927,2017-01-29,2017-01-31,Second Class,TM-21010,CA-2017-160927-0,TM-21010-1
US-2016-154361,2016-03-14,2016-03-19,Standard Class,HZ-14950,US-2016-154361-0,HZ-14950-0
CA-2017-168739,2017-05-29,2017-06-05,Standard Class,HZ-14950,CA-2017-168739-0,HZ-14950-1
CA-2017-124765,2017-11-25,2017-11-30,Standard Class,HZ-14950,CA-2017-124765-0,HZ-14950-2
CA-2014-109491,2014-02-20,2014-02-26,Standard Class,LC-16930,CA-2014-109491-0,LC-16930-0
CA-2016-152289,2016-08-26,2016-08-28,First Class,LC-16930,CA-2016-152289-0,LC-16930-1
US-2017-137491,2017-11-19,2017-11-25,Standard Class,LC-16930,US-2017-137491-0,LC-16930-2
US-2015-134558,2015-12-19,2015-12-24,Second Class,PM-19135,US-2015-134558-0,PM-19135-0
CA-2016-165148,2016-10-22,2016-10-24,First Class,PM-19135,CA-2016-165148-0,PM-19135-1
CA-2014-161508,2014-07-12,2014-07-16,Standard Class,PV-18985,CA-2014-161508-0,PV-18985-0
CA-2016-107216,2016-06-14,2016-06-17,First Class,PV-18985,CA-2016-107216-0,PV-18985-1
US-2017-133081,2017-03-11,2017-03-15,Standard Class,PV-18985,US-2017-133081-0,PV-18985-2
CA-2016-115378,2016-11-18,2016-11-23,Second Class,AJ-10945,CA-2016-115378-0,AJ-10945-0
US-2014-138247,2014-12-24,2014-12-29,Standard Class,BF-11170,US-2014-138247-0,BF-11170-0
CA-2016-149111,2016-04-17,2016-04-21,Second Class,BF-11170,CA-2016-149111-0,BF-11170-1
US-2016-120460,2016-04-30,2016-05-05,Standard Class,BF-11170,US-2016-120460-0,BF-11170-2
CA-2016-162348,2016-11-10,2016-11-15,Standard Class,BF-11170,CA-2016-162348-0,BF-11170-3
CA-2017-151799,2017-12-14,2017-12-18,Standard Class,BF-11170,CA-2017-151799-0,BF-11170-4
US-2016-150861,2016-12-03,2016-12-06,First Class,EG-13900,US-2016-150861-0,EG-13900-0
US-2017-167570,2017-12-08,2017-12-15,Standard Class,EG-13900,US-2017-167570-0,EG-13900-1
CA-2016-139395,2016-12-12,2016-12-18,Standard Class,MG-17650,CA-2016-139395-0,MG-17650-0
CA-2017-145660,2017-12-01,2017-12-03,First Class,MG-17650,CA-2017-145660-0,MG-17650-1
CA-2014-136567,2014-12-20,2014-12-21,First Class,PS-19045,CA-2014-136567-0,PS-19045-0
CA-2014-164210,2014-11-18,2014-11-20,Second Class,PW-19240,CA-2014-164210-0,PW-19240-0
US-2015-114839,2015-04-26,2015-04-30,Standard Class,PW-19240,US-2015-114839-0,PW-19240-1
US-2015-145422,2015-12-03,2015-12-07,Standard Class,PW-19240,US-2015-145422-0,PW-19240-2
CA-2017-143567,2017-11-02,2017-11-05,Second Class,TB-21175,CA-2017-143567-0,TB-21175-0
CA-2014-147543,2014-07-06,2014-07-12,Standard Class,BC-11125,CA-2014-147543-0,BC-11125-0
CA-2014-113859,2014-09-13,2014-09-17,Standard Class,BC-11125,CA-2014-113859-0,BC-11125-1
CA-2016-123050,2016-04-04,2016-04-08,Second Class,BC-11125,CA-2016-123050-0,BC-11125-2
CA-2016-143910,2016-08-12,2016-08-16,Standard Class,BC-11125,CA-2016-143910-0,BC-11125-3
CA-2017-113530,2017-05-19,2017-05-21,Second Class,BC-11125,CA-2017-113530-0,BC-11125-4
US-2017-120418,2017-06-11,2017-06-12,First Class,BC-11125,US-2017-120418-0,BC-11125-5
US-2014-148838,2014-03-17,2014-03-21,Standard Class,CP-12340,US-2014-148838-0,CP-12340-0
CA-2016-164889,2016-06-03,2016-06-06,Second Class,CP-12340,CA-2016-164889-0,CP-12340-1
CA-2014-133690,2014-08-03,2014-08-05,First Class,BS-11755,CA-2014-133690-0,BS-11755-0
CA-2015-126137,2015-10-03,2015-10-08,Standard Class,BS-11755,CA-2015-126137-0,BS-11755-1
CA-2016-156748,2016-11-30,2016-12-06,Standard Class,BS-11755,CA-2016-156748-0,BS-11755-2
CA-2017-135069,2017-04-10,2017-04-14,Standard Class,BS-11755,CA-2017-135069-0,BS-11755-3
CA-2017-130631,2017-12-29,2018-01-02,Standard Class,BS-11755,CA-2017-130631-0,BS-11755-4
CA-2016-135265,2016-07-07,2016-07-09,Second Class,CC-12370,CA-2016-135265-0,CC-12370-0
CA-2016-154690,2016-08-15,2016-08-17,Second Class,CC-12370,CA-2016-154690-0,CC-12370-1
US-2017-155866,2017-11-17,2017-11-21,Standard Class,CC-12370,US-2017-155866-0,CC-12370-2
US-2017-117450,2017-09-04,2017-09-08,Standard Class,DO-13645,US-2017-117450-0,DO-13645-0
CA-2017-118003,2017-12-04,2017-12-10,Standard Class,DO-13645,CA-2017-118003-0,DO-13645-1
US-2017-142188,2017-09-11,2017-09-11,Same Day,JF-15415,US-2017-142188-0,JF-15415-0
US-2016-108497,2016-06-14,2016-06-14,Same Day,MH-17290,US-2016-108497-0,MH-17290-0
US-2017-141558,2017-03-11,2017-03-16,Standard Class,MH-17290,US-2017-141558-0,MH-17290-1
CA-2017-169327,2017-09-02,2017-09-04,Second Class,MH-17290,CA-2017-169327-0,MH-17290-2
CA-2017-113208,2017-03-26,2017-04-02,Standard Class,ML-18040,CA-2017-113208-0,ML-18040-0
CA-2014-146815,2014-09-08,2014-09-13,Standard Class,PP-18955,CA-2014-146815-0,PP-18955-0
CA-2014-126683,2014-09-29,2014-10-01,Second Class,PP-18955,CA-2014-126683-0,PP-18955-1
CA-2015-146087,2015-07-06,2015-07-11,Standard Class,PP-18955,CA-2015-146087-0,PP-18955-2
CA-2015-130253,2015-12-14,2015-12-18,Standard Class,PP-18955,CA-2015-130253-0,PP-18955-3
US-2016-108504,2016-02-05,2016-02-05,Same Day,PP-18955,US-2016-108504-0,PP-18955-4
CA-2016-145177,2016-11-10,2016-11-14,Standard Class,PP-18955,CA-2016-145177-0,PP-18955-5
US-2014-165589,2014-02-18,2014-02-18,Same Day,TB-21595,US-2014-165589-0,TB-21595-0
CA-2016-127236,2016-03-29,2016-04-02,Standard Class,TB-21595,CA-2016-127236-0,TB-21595-1
CA-2016-156300,2016-12-29,2017-01-02,Standard Class,TB-21595,CA-2016-156300-0,TB-21595-2
CA-2017-154214,2017-03-20,2017-03-25,Second Class,TB-21595,CA-2017-154214-0,TB-21595-3
CA-2014-151995,2014-10-13,2014-10-15,First Class,ZC-21910,CA-2014-151995-0,ZC-21910-0
CA-2014-126802,2014-12-29,2015-01-05,Standard Class,ZC-21910,CA-2014-126802-0,ZC-21910-1
CA-2015-133452,2015-04-13,2015-04-19,Standard Class,ZC-21910,CA-2015-133452-0,ZC-21910-2
CA-2015-130365,2015-04-25,2015-04-29,Standard Class,ZC-21910,CA-2015-130365-0,ZC-21910-3
CA-2015-115567,2015-09-13,2015-09-18,Standard Class,ZC-21910,CA-2015-115567-0,ZC-21910-4
CA-2016-169103,2016-03-08,2016-03-13,Standard Class,ZC-21910,CA-2016-169103-0,ZC-21910-5
CA-2016-130946,2016-04-08,2016-04-12,Standard Class,ZC-21910,CA-2016-130946-0,ZC-21910-6
CA-2017-100013,2017-11-06,2017-11-11,Standard Class,ZC-21910,CA-2017-100013-0,ZC-21910-7
CA-2014-155271,2014-05-04,2014-05-04,Same Day,AA-10480,CA-2014-155271-0,AA-10480-0
CA-2016-114601,2016-08-26,2016-09-02,Standard Class,AA-10480,CA-2016-114601-0,AA-10480-1
CA-2014-117345,2014-08-01,2014-08-05,Standard Class,BF-10975,CA-2014-117345-0,BF-10975-0
CA-2015-116750,2015-07-05,2015-07-10,Second Class,BF-10975,CA-2015-116750-0,BF-10975-1
US-2014-114377,2014-11-05,2014-11-05,Same Day,BG-11035,US-2014-114377-0,BG-11035-0
CA-2016-149237,2016-05-26,2016-05-30,Standard Class,CM-12235,CA-2016-149237-0,CM-12235-0
US-2016-159856,2016-10-18,2016-10-22,Standard Class,EP-13915,US-2016-159856-0,EP-13915-0
US-2016-131611,2016-11-05,2016-11-09,Standard Class,EP-13915,US-2016-131611-0,EP-13915-1
CA-2017-111815,2017-03-03,2017-03-10,Standard Class,EP-13915,CA-2017-111815-0,EP-13915-2
CA-2017-149888,2017-11-07,2017-11-13,Standard Class,EP-13915,CA-2017-149888-0,EP-13915-3
CA-2017-122770,2017-12-13,2017-12-18,Standard Class,EP-13915,CA-2017-122770-0,EP-13915-4
CA-2014-107916,2014-08-24,2014-08-26,First Class,JP-15460,CA-2014-107916-0,JP-15460-0
CA-2017-156622,2017-11-23,2017-11-26,First Class,JP-15460,CA-2017-156622-0,JP-15460-1
US-2015-138919,2015-09-17,2015-09-21,Standard Class,LS-16975,US-2015-138919-0,LS-16975-0
US-2016-125969,2016-11-06,2016-11-10,Second Class,LS-16975,US-2016-125969-0,LS-16975-1
CA-2017-164168,2017-11-12,2017-11-18,Standard Class,LS-16975,CA-2017-164168-0,LS-16975-2
CA-2017-117702,2017-11-28,2017-12-04,Standard Class,LS-16975,CA-2017-117702-0,LS-16975-3
CA-2016-159940,2016-07-07,2016-07-11,Second Class,BF-11020,CA-2016-159940-0,BF-11020-0
CA-2016-156265,2016-08-02,2016-08-04,Second Class,BF-11020,CA-2016-156265-0,BF-11020-1
CA-2017-134495,2017-04-01,2017-04-04,Second Class,BF-11020,CA-2017-134495-0,BF-11020-2
US-2017-124779,2017-09-08,2017-09-11,First Class,BF-11020,US-2017-124779-0,BF-11020-3
US-2016-126452,2016-08-21,2016-08-28,Standard Class,SC-20230,US-2016-126452-0,SC-20230-0
CA-2017-108910,2017-09-24,2017-09-29,Standard Class,KC-16540,CA-2017-108910-0,KC-16540-0
CA-2015-166219,2015-08-28,2015-09-01,Standard Class,BP-11185,CA-2015-166219-0,BP-11185-0
CA-2016-142902,2016-09-12,2016-09-14,Second Class,BP-11185,CA-2016-142902-0,BP-11185-1
CA-2016-115574,2016-12-23,2016-12-24,First Class,BP-11185,CA-2016-115574-0,BP-11185-2
CA-2017-146626,2017-12-29,2018-01-05,Standard Class,BP-11185,CA-2017-146626-0,BP-11185-3
US-2014-165659,2014-06-01,2014-06-06,Standard Class,LT-17110,US-2014-165659-0,LT-17110-0
CA-2015-168207,2015-11-02,2015-11-06,Standard Class,LT-17110,CA-2015-168207-0,LT-17110-1
CA-2015-154620,2015-12-12,2015-12-16,Standard Class,LT-17110,CA-2015-154620-0,LT-17110-2
CA-2016-159373,2016-03-13,2016-03-18,Standard Class,LT-17110,CA-2016-159373-0,LT-17110-3
CA-2014-152100,2014-05-11,2014-05-16,Standard Class,VW-21775,CA-2014-152100-0,VW-21775-0
CA-2015-146262,2015-01-02,2015-01-09,Standard Class,VW-21775,CA-2015-146262-0,VW-21775-1
CA-2015-151624,2015-09-08,2015-09-14,Standard Class,VW-21775,CA-2015-151624-0,VW-21775-2
CA-2016-125080,2016-10-21,2016-10-26,Standard Class,VW-21775,CA-2016-125080-0,VW-21775-3
