Product_ID,Category,Sub_Category,Product_Name,NewProductID
FUR-BO-10000711,Furniture,Bookcases,"Hon Metal Bookcases, Gray",FUR-BO-10000711-0
FUR-FU-10001861,Furniture,Furnishings,"Floodlight Indoor Halogen Bulbs, 1 Bulb per Pack, 60 Watts",FUR-FU-10001861-0
FUR-FU-10004071,Furniture,Furnishings,Luxo Professional Magnifying Clamp-On Fluorescent Lamps,FUR-FU-10004071-0
FUR-TA-10004442,Furniture,Tables,Riverside Furniture Stanwyck Manor Table Series,FUR-TA-10004442-0
FUR-CH-10001215,Furniture,Chairs,Global Troy Executive Leather Low-Back Tilter,FUR-CH-10001215-0
FUR-CH-10001854,Furniture,Chairs,Office Star - Professional Matrix Back Chair with 2-to-1 Synchro Tilt and Mesh Fabric Seat,FUR-CH-10001854-0
FUR-CH-10002965,Furniture,Chairs,"Global Leather Highback Executive Chair with Pneumatic Height Adjustment, Black",FUR-CH-10002965-0
FUR-FU-10000308,Furniture,Furnishings,Deflect-o Glass Clear Studded Chair Mats,FUR-FU-10000308-0
FUR-FU-10001424,Furniture,Furnishings,Dax Clear Box Frame,FUR-FU-10001424-0
FUR-FU-10003194,Furniture,Furnishings,"Eldon Expressions Desk Accessory, Wood Pencil Holder, Oak",FUR-FU-10003194-0
FUR-FU-10001095,Furniture,Furnishings,DAX Black Cherry Wood-Tone Poster Frame,FUR-FU-10001095-0
FUR-FU-10002253,Furniture,Furnishings,"Howard Miller 13"" Diameter Pewter Finish Round Wall Clock",FUR-FU-10002253-0
FUR-TA-10002622,Furniture,Tables,"Bush Andora Conference Table, Maple/Graphite Gray Finish",FUR-TA-10002622-0
FUR-FU-10001731,Furniture,Furnishings,Acrylic Self-Standing Desk Frames,FUR-FU-10001731-0
FUR-TA-10001866,Furniture,Tables,Bevis Round Conference Room Tables and Bases,FUR-TA-10001866-0
FUR-TA-10002774,Furniture,Tables,Laminate Occasional Tables,FUR-TA-10002774-0
FUR-FU-10004091,Furniture,Furnishings,"Eldon 200 Class Desk Accessories, Black",FUR-FU-10004091-0
FUR-FU-10004091,Furniture,Furnishings,"Howard Miller 13"" Diameter Goldtone Round Wall Clock",FUR-FU-10004091-1
FUR-TA-10004256,Furniture,Tables,Bretford ÒJust In TimeÓ Height-Adjustable Multi-Task Work Tables,FUR-TA-10004256-0
FUR-BO-10003966,Furniture,Bookcases,"Sauder Facets Collection Library, Sky Alder Finish",FUR-BO-10003966-0
FUR-CH-10000785,Furniture,Chairs,Global Ergonomic Managers Chair,FUR-CH-10000785-0
FUR-CH-10000015,Furniture,Chairs,Hon Multipurpose Stacking Arm Chairs,FUR-CH-10000015-0
FUR-FU-10003489,Furniture,Furnishings,Contemporary Borderless Frame,FUR-FU-10003489-0
FUR-TA-10001889,Furniture,Tables,Bush Advantage Collection Racetrack Conference Table,FUR-TA-10001889-0
FUR-TA-10003238,Furniture,Tables,"Chromcraft Bull-Nose Wood 48"" x 96"" Rectangular Conference Tables",FUR-TA-10003238-0
FUR-CH-10003956,Furniture,Chairs,Novimex High-Tech Fabric Mesh Task Chair,FUR-CH-10003956-0
FUR-FU-10001934,Furniture,Furnishings,Magnifier Swing Arm Lamp,FUR-FU-10001934-0
FUR-FU-10001940,Furniture,Furnishings,Staple-based wall hangings,FUR-FU-10001940-0
FUR-FU-10003829,Furniture,Furnishings,Stackable Trays,FUR-FU-10003829-0
FUR-TA-10001932,Furniture,Tables,"Chromcraft 48"" x 96"" Racetrack Double Pedestal Table",FUR-TA-10001932-0
FUR-TA-10001950,Furniture,Tables,Balt Solid Wood Round Tables,FUR-TA-10001950-0
FUR-TA-10004154,Furniture,Tables,"Riverside Furniture Oval Coffee Table, Oval End Table, End Table with Drawer",FUR-TA-10004154-0
FUR-TA-10004767,Furniture,Tables,Safco Drafting Table,FUR-TA-10004767-0
FUR-CH-10000863,Furniture,Chairs,Novimex Swivel Fabric Task Chair,FUR-CH-10000863-0
FUR-FU-10002506,Furniture,Furnishings,"Tensor ""Hersey Kiss"" Styled Floor Lamp",FUR-FU-10002506-0
FUR-TA-10001039,Furniture,Tables,KI Adjustable-Height Table,FUR-TA-10001039-0
FUR-CH-10003761,Furniture,Chairs,Global Italian Leather Office Chair,FUR-CH-10003761-0
FUR-CH-10004997,Furniture,Chairs,Hon Every-Day Series Multi-Task Chairs,FUR-CH-10004997-0
FUR-FU-10000260,Furniture,Furnishings,"6"" Cubicle Wall Clock, Black",FUR-FU-10000260-0
FUR-FU-10000305,Furniture,Furnishings,"Tenex V2T-RE Standard Weight Series Chair Mat, 45"" x 53"", Lip 25"" x 12""",FUR-FU-10000305-0
FUR-FU-10000409,Furniture,Furnishings,"GE 4 Foot Flourescent Tube, 40 Watt",FUR-FU-10000409-0
FUR-FU-10001196,Furniture,Furnishings,DAX Cubicle Frames - 8x10,FUR-FU-10001196-0
FUR-CH-10000309,Furniture,Chairs,Global Comet Stacking Arm Chair,FUR-CH-10000309-0
FUR-CH-10002044,Furniture,Chairs,"Office Star - Contemporary Task Swivel chair with 2-way adjustable arms, Plum",FUR-CH-10002044-0
FUR-CH-10004086,Furniture,Chairs,Hon 4070 Series Pagoda Armless Upholstered Stacking Chairs,FUR-CH-10004086-0
FUR-FU-10000087,Furniture,Furnishings,"Executive Impressions 14"" Two-Color Numerals Wall Clock",FUR-FU-10000087-0
FUR-FU-10002508,Furniture,Furnishings,Document Clip Frames,FUR-FU-10002508-0
FUR-TA-10003008,Furniture,Tables,"Lesro Round Back Collection Coffee Table, End Table",FUR-TA-10003008-0
FUR-BO-10004015,Furniture,Bookcases,"Bush Andora Bookcase, Maple/Graphite Gray Finish",FUR-BO-10004015-0
FUR-BO-10004690,Furniture,Bookcases,O'Sullivan Cherrywood Estates Traditional Barrister Bookcase,FUR-BO-10004690-0
FUR-CH-10002335,Furniture,Chairs,Hon GuestStacker Chair,FUR-CH-10002335-0
FUR-FU-10001706,Furniture,Furnishings,Longer-Life Soft White Bulbs,FUR-FU-10001706-0
FUR-FU-10000672,Furniture,Furnishings,"Executive Impressions 10"" Spectator Wall Clock",FUR-FU-10000672-0
FUR-FU-10002030,Furniture,Furnishings,"Executive Impressions 14"" Contract Wall Clock with Quartz Movement",FUR-FU-10002030-0
FUR-CH-10002073,Furniture,Chairs,Hon Olson Stacker Chairs,FUR-CH-10002073-0
FUR-CH-10002602,Furniture,Chairs,DMI Arturo Collection Mission-style Design Wood Chair,FUR-CH-10002602-0
FUR-CH-10003746,Furniture,Chairs,Hon 4070 Series Pagoda Round Back Stacking Chairs,FUR-CH-10003746-0
FUR-FU-10002379,Furniture,Furnishings,Eldon Econocleat Chair Mats for Low Pile Carpets,FUR-FU-10002379-0
FUR-FU-10002553,Furniture,Furnishings,"Electrix Incandescent Magnifying Lamp, Black",FUR-FU-10002553-0
FUR-FU-10002685,Furniture,Furnishings,"Executive Impressions 13-1/2"" Indoor/Outdoor Wall Clock",FUR-FU-10002685-0
FUR-TA-10002533,Furniture,Tables,BPI Conference Tables,FUR-TA-10002533-0
FUR-CH-10001146,Furniture,Chairs,"Global Task Chair, Black",FUR-CH-10001146-0
FUR-CH-10001146,Furniture,Chairs,"Global Value Mid-Back Manager's Chair, Gray",FUR-CH-10001146-1
FUR-FU-10000629,Furniture,Furnishings,9-3/4 Diameter Round Wall Clock,FUR-FU-10000629-0
FUR-FU-10004671,Furniture,Furnishings,"Executive Impressions 12"" Wall Clock",FUR-FU-10004671-0
FUR-TA-10001857,Furniture,Tables,Balt Solid Wood Rectangular Table,FUR-TA-10001857-0
FUR-FU-10004093,Furniture,Furnishings,Hand-Finished Solid Wood Document Frame,FUR-FU-10004093-0
FUR-BO-10001798,Furniture,Bookcases,Bush Somerset Collection Bookcase,FUR-BO-10001798-0
FUR-CH-10002647,Furniture,Chairs,"Situations Contoured Folding Chairs, 4/Set",FUR-CH-10002647-0
FUR-FU-10001602,Furniture,Furnishings,"Eldon Delta Triangular Chair Mat, 52"" x 58"", Clear",FUR-FU-10001602-0
FUR-FU-10004090,Furniture,Furnishings,"Executive Impressions 14"" Contract Wall Clock",FUR-FU-10004090-0
FUR-FU-10000820,Furniture,Furnishings,Tensor Brushed Steel Torchiere Floor Lamp,FUR-FU-10000820-0
FUR-FU-10001918,Furniture,Furnishings,C-Line Cubicle Keepers Polyproplyene Holder With Velcro Backings,FUR-FU-10001918-0
FUR-CH-10000229,Furniture,Chairs,Global Enterprise Series Seating High-Back Swivel/Tilt Chairs,FUR-CH-10000229-0
FUR-CH-10002317,Furniture,Chairs,Global Enterprise Series Seating Low-Back Swivel/Tilt Chairs,FUR-CH-10002317-0
FUR-FU-10003347,Furniture,Furnishings,Coloredge Poster Frame,FUR-FU-10003347-0
FUR-FU-10003806,Furniture,Furnishings,"Tenex Chairmat w/ Average Lip, 45"" x 53""",FUR-FU-10003806-0
FUR-FU-10002045,Furniture,Furnishings,"Executive Impressions 14""",FUR-FU-10002045-0
FUR-FU-10002554,Furniture,Furnishings,"Westinghouse Floor Lamp with Metal Mesh Shade, Black",FUR-FU-10002554-0
FUR-FU-10004017,Furniture,Furnishings,"Executive Impressions 13"" Chairman Wall Clock",FUR-FU-10004017-0
FUR-FU-10004017,Furniture,Furnishings,"Tenex Contemporary Contur Chairmats for Low and Medium Pile Carpet, Computer, 39"" x 49""",FUR-FU-10004017-1
FUR-FU-10004164,Furniture,Furnishings,"Eldon 300 Class Desk Accessories, Black",FUR-FU-10004164-0
FUR-FU-10004848,Furniture,Furnishings,DAX Solid Wood Frames,FUR-FU-10004848-0
FUR-FU-10004848,Furniture,Furnishings,"Howard Miller 13-3/4"" Diameter Brushed Chrome Round Wall Clock",FUR-FU-10004848-1
FUR-FU-10004864,Furniture,Furnishings,Eldon 500 Class Desk Accessories,FUR-FU-10004864-0
FUR-FU-10004864,Furniture,Furnishings,"Howard Miller 14-1/2"" Diameter Chrome Round Wall Clock",FUR-FU-10004864-1
FUR-TA-10001676,Furniture,Tables,Hon 61000 Series Interactive Training Tables,FUR-TA-10001676-0
FUR-FU-10001488,Furniture,Furnishings,"Tenex 46"" x 60"" Computer Anti-Static Chairmat, Rectangular Shaped",FUR-FU-10001488-0
FUR-FU-10003577,Furniture,Furnishings,Nu-Dell Leatherette Frames,FUR-FU-10003577-0
FUR-FU-10003975,Furniture,Furnishings,Eldon Advantage Chair Mats for Low to Medium Pile Carpets,FUR-FU-10003975-0
FUR-BO-10001619,Furniture,Bookcases,O'Sullivan Cherrywood Estates Traditional Bookcase,FUR-BO-10001619-0
FUR-BO-10002545,Furniture,Bookcases,"Atlantic Metals Mobile 3-Shelf Bookcases, Custom Colors",FUR-BO-10002545-0
FUR-FU-10003708,Furniture,Furnishings,"Tenex Traditional Chairmats for Medium Pile Carpet, Standard Lip, 36"" x 48""",FUR-FU-10003708-0
FUR-TA-10002228,Furniture,Tables,"Bevis Traditional Conference Table Top, Plinth Base",FUR-TA-10002228-0
FUR-TA-10002903,Furniture,Tables,"Bevis Round Bullnose 29"" High Table Top",FUR-TA-10002903-0
FUR-CH-10003298,Furniture,Chairs,"Office Star - Contemporary Task Swivel chair with Loop Arms, Charcoal",FUR-CH-10003298-0
FUR-FU-10001057,Furniture,Furnishings,Tensor Track Tree Floor Lamp,FUR-FU-10001057-0
FUR-FU-10004845,Furniture,Furnishings,"Deflect-o EconoMat Nonstudded, No Bevel Mat",FUR-FU-10004845-0
FUR-BO-10003441,Furniture,Bookcases,"Bush Westfield Collection Bookcases, Fully Assembled",FUR-BO-10003441-0
FUR-CH-10004675,Furniture,Chairs,"Lifetime Advantage Folding Chairs, 4/Carton",FUR-CH-10004675-0
FUR-FU-10001588,Furniture,Furnishings,"Deflect-o SuperTray Unbreakable Stackable Tray, Letter, Black",FUR-FU-10001588-0
FUR-FU-10003095,Furniture,Furnishings,"Linden 12"" Wall Clock With Oak Frame",FUR-FU-10003095-0
FUR-FU-10003832,Furniture,Furnishings,"Eldon Expressions Punched Metal & Wood Desk Accessories, Black & Cherry",FUR-FU-10003832-0
FUR-BO-10004467,Furniture,Bookcases,Bestar Classic Bookcase,FUR-BO-10004467-0
FUR-CH-10002880,Furniture,Chairs,"Global High-Back Leather Tilter, Burgundy",FUR-CH-10002880-0
FUR-FU-10000221,Furniture,Furnishings,"Master Caster Door Stop, Brown",FUR-FU-10000221-0
FUR-FU-10002505,Furniture,Furnishings,Eldon 100 Class Desk Accessories,FUR-FU-10002505-0
FUR-FU-10003919,Furniture,Furnishings,Eldon Executive Woodline II Cherry Finish Desk Accessories,FUR-FU-10003919-0
FUR-CH-10004983,Furniture,Chairs,Office Star - Mid Back Dual function Ergonomic High Back Chair with 2-Way Adjustable Arms,FUR-CH-10004983-0
FUR-TA-10001307,Furniture,Tables,"SAFCO PlanMaster Heigh-Adjustable Drafting Table Base, 43w x 30d x 30-37h, Black",FUR-TA-10001307-0
FUR-CH-10002320,Furniture,Chairs,Hon Pagoda Stacking Chairs,FUR-CH-10002320-0
FUR-FU-10001379,Furniture,Furnishings,"Executive Impressions 16-1/2"" Circular Wall Clock",FUR-FU-10001379-0
FUR-FU-10002111,Furniture,Furnishings,"Master Caster Door Stop, Large Brown",FUR-FU-10002111-0
FUR-FU-10003026,Furniture,Furnishings,"Eldon Regeneration Recycled Desk Accessories, Black",FUR-FU-10003026-0
FUR-BO-10000330,Furniture,Bookcases,"Sauder Camden County Barrister Bookcase, Planked Cherry Finish",FUR-BO-10000330-0
FUR-CH-10000513,Furniture,Chairs,High-Back Leather Manager's Chair,FUR-CH-10000513-0
FUR-CH-10003199,Furniture,Chairs,Office Star - Contemporary Task Swivel Chair,FUR-CH-10003199-0
FUR-FU-10002268,Furniture,Furnishings,Ultra Door Push Plate,FUR-FU-10002268-0
FUR-FU-10003664,Furniture,Furnishings,"Electrix Architect's Clamp-On Swing Arm Lamp, Black",FUR-FU-10003664-0
FUR-FU-10003799,Furniture,Furnishings,"Seth Thomas 13 1/2"" Wall Clock",FUR-FU-10003799-0
FUR-FU-10004018,Furniture,Furnishings,Tensor Computer Mounted Lamp,FUR-FU-10004018-0
FUR-FU-10004963,Furniture,Furnishings,"Eldon 400 Class Desk Accessories, Black Carbon",FUR-FU-10004963-0
FUR-TA-10002607,Furniture,Tables,KI Conference Tables,FUR-TA-10002607-0
FUR-FU-10000010,Furniture,Furnishings,"DAX Value U-Channel Document Frames, Easel Back",FUR-FU-10000010-0
FUR-FU-10000397,Furniture,Furnishings,Luxo Economy Swing Arm Lamp,FUR-FU-10000397-0
FUR-FU-10003374,Furniture,Furnishings,Electrix Fluorescent Magnifier Lamps & Weighted Base,FUR-FU-10003374-0
FUR-BO-10003450,Furniture,Bookcases,"Bush Westfield Collection Bookcases, Dark Cherry Finish",FUR-BO-10003450-0
FUR-BO-10004709,Furniture,Bookcases,"Bush Westfield Collection Bookcases, Medium Cherry Finish",FUR-BO-10004709-0
FUR-FU-10000794,Furniture,Furnishings,"Eldon Stackable Tray, Side-Load, Legal, Smoke",FUR-FU-10000794-0
FUR-FU-10001591,Furniture,Furnishings,Advantus Panel Wall Certificate Holder - 8.5x11,FUR-FU-10001591-0
FUR-FU-10001967,Furniture,Furnishings,Telescoping Adjustable Floor Lamp,FUR-FU-10001967-0
FUR-FU-10002759,Furniture,Furnishings,12-1/2 Diameter Round Wall Clock,FUR-FU-10002759-0
FUR-FU-10000723,Furniture,Furnishings,"Deflect-o EconoMat Studded, No Bevel Mat for Low Pile Carpeting",FUR-FU-10000723-0
FUR-FU-10002703,Furniture,Furnishings,"Tenex Traditional Chairmats for Hard Floors, Average Lip, 36"" x 48""",FUR-FU-10002703-0
FUR-FU-10003724,Furniture,Furnishings,Westinghouse Clip-On Gooseneck Lamps,FUR-FU-10003724-0
FUR-FU-10004712,Furniture,Furnishings,"Westinghouse Mesh Shade Clip-On Gooseneck Lamp, Black",FUR-FU-10004712-0
FUR-BO-10002613,Furniture,Bookcases,"Atlantic Metals Mobile 4-Shelf Bookcases, Custom Colors",FUR-BO-10002613-0
FUR-CH-10004698,Furniture,Chairs,"Padded Folding Chairs, Black, 4/Carton",FUR-CH-10004698-0
FUR-FU-10003424,Furniture,Furnishings,Nu-Dell Oak Frame,FUR-FU-10003424-0
FUR-FU-10004622,Furniture,Furnishings,Eldon Advantage Foldable Chair Mats for Low Pile Carpets,FUR-FU-10004622-0
FUR-BO-10003546,Furniture,Bookcases,Hon 4-Shelf Metal Bookcases,FUR-BO-10003546-0
FUR-CH-10004287,Furniture,Chairs,SAFCO Arco Folding Chair,FUR-CH-10004287-0
FUR-BO-10003404,Furniture,Bookcases,"Global Adaptabilites Bookcase, Cherry/Storm Gray Finish",FUR-BO-10003404-0
FUR-FU-10004748,Furniture,Furnishings,"Howard Miller 16"" Diameter Gallery Wall Clock",FUR-FU-10004748-0
FUR-CH-10001797,Furniture,Chairs,"Safco Chair Connectors, 6/Carton",FUR-CH-10001797-0
FUR-FU-10000076,Furniture,Furnishings,24-Hour Round Wall Clock,FUR-FU-10000076-0
FUR-FU-10000320,Furniture,Furnishings,OIC Stacking Trays,FUR-FU-10000320-0
FUR-FU-10000719,Furniture,Furnishings,"DAX Cubicle Frames, 8-1/2 x 11",FUR-FU-10000719-0
FUR-FU-10001487,Furniture,Furnishings,"Eldon Expressions Wood and Plastic Desk Accessories, Cherry Wood",FUR-FU-10001487-0
FUR-FU-10000206,Furniture,Furnishings,"GE General Purpose, Extra Long Life, Showcase & Floodlight Incandescent Bulbs",FUR-FU-10000206-0
FUR-FU-10000747,Furniture,Furnishings,Tenex B1-RE Series Chair Mats for Low Pile Carpets,FUR-FU-10000747-0
FUR-BO-10003433,Furniture,Bookcases,Sauder Cornerstone Collection Library,FUR-BO-10003433-0
FUR-CH-10000155,Furniture,Chairs,Global Comet Stacking Armless Chair,FUR-CH-10000155-0
FUR-TA-10002855,Furniture,Tables,Bevis Round Conference Table Top & Single Column Base,FUR-TA-10002855-0
FUR-TA-10003954,Furniture,Tables,Hon 94000 Series Round Tables,FUR-TA-10003954-0
FUR-BO-10002268,Furniture,Bookcases,Sauder Barrister Bookcases,FUR-BO-10002268-0
FUR-FU-10000293,Furniture,Furnishings,Eldon Antistatic Chair Mats for Low to Medium Pile Carpets,FUR-FU-10000293-0
FUR-FU-10003274,Furniture,Furnishings,Regeneration Desk Collection,FUR-FU-10003274-0
FUR-CH-10001394,Furniture,Chairs,Global Leather Executive Chair,FUR-CH-10001394-0
FUR-CH-10003606,Furniture,Chairs,SAFCO Folding Chair Trolley,FUR-CH-10003606-0
FUR-CH-10004540,Furniture,Chairs,Global Chrome Stack Chair,FUR-CH-10004540-0
FUR-FU-10001025,Furniture,Furnishings,"Eldon Imˆge Series Desk Accessories, Clear",FUR-FU-10001025-0
FUR-FU-10001852,Furniture,Furnishings,"Eldon Regeneration Recycled Desk Accessories, Smoke",FUR-FU-10001852-0
FUR-TA-10002041,Furniture,Tables,"Bevis Round Conference Table Top, X-Base",FUR-TA-10002041-0
FUR-BO-10004695,Furniture,Bookcases,O'Sullivan 2-Door Barrister Bookcase in Odessa Pine,FUR-BO-10004695-0
FUR-CH-10001714,Furniture,Chairs,"Global Leather & Oak Executive Chair, Burgundy",FUR-CH-10001714-0
FUR-FU-10001889,Furniture,Furnishings,Ultra Door Pull Handle,FUR-FU-10001889-0
FUR-FU-10003930,Furniture,Furnishings,Howard Miller 12-3/4 Diameter Accuwave DS  Wall Clock,FUR-FU-10003930-0
FUR-BO-10003894,Furniture,Bookcases,"Safco Value Mate Steel Bookcase, Baked Enamel Finish on Steel, Black",FUR-BO-10003894-0
FUR-CH-10002024,Furniture,Chairs,HON 5400 Series Task Chairs for Big and Tall,FUR-CH-10002024-0
FUR-CH-10002780,Furniture,Chairs,Office Star - Task Chair with Contemporary Loop Arms,FUR-CH-10002780-0
FUR-TA-10004147,Furniture,Tables,Hon 4060 Series Tables,FUR-TA-10004147-0
FUR-CH-10000595,Furniture,Chairs,Safco Contoured Stacking Chairs,FUR-CH-10000595-0
FUR-TA-10000577,Furniture,Tables,Bretford CR4500 Series Slim Rectangular Table,FUR-TA-10000577-0
FUR-BO-10001567,Furniture,Bookcases,"Bush Westfield Collection Bookcases, Dark Cherry Finish, Fully Assembled",FUR-BO-10001567-0
FUR-CH-10002961,Furniture,Chairs,"Leather Task Chair, Black",FUR-CH-10002961-0
FUR-FU-10000175,Furniture,Furnishings,DAX Wood Document Frame.,FUR-FU-10000175-0
FUR-FU-10000222,Furniture,Furnishings,"Seth Thomas 16"" Steel Case Clock",FUR-FU-10000222-0
FUR-FU-10001085,Furniture,Furnishings,3M Polarizing Light Filter Sleeves,FUR-FU-10001085-0
FUR-FU-10003247,Furniture,Furnishings,36X48 HARDFLOOR CHAIRMAT,FUR-FU-10003247-0
FUR-FU-10004245,Furniture,Furnishings,"Career Cubicle Clock, 8 1/4"", Black",FUR-FU-10004245-0
FUR-CH-10000454,Furniture,Chairs,"Hon Deluxe Fabric Upholstered Stacking Chairs, Rounded Back",FUR-CH-10000454-0
FUR-FU-10000023,Furniture,Furnishings,Eldon Wave Desk Accessories,FUR-FU-10000023-0
FUR-FU-10000758,Furniture,Furnishings,DAX Natural Wood-Tone Poster Frame,FUR-FU-10000758-0
FUR-FU-10002298,Furniture,Furnishings,"Rubbermaid ClusterMat Chairmats, Mat Size- 66"" x 60"", Lip 20"" x 11"" -90 Degree Angle",FUR-FU-10002298-0
FUR-FU-10004904,Furniture,Furnishings,"Eldon ""L"" Workstation Diamond Chairmat",FUR-FU-10004904-0
FUR-BO-10000780,Furniture,Bookcases,O'Sullivan Plantations 2-Door Library in Landvery Oak,FUR-BO-10000780-0
FUR-CH-10003774,Furniture,Chairs,"Global Wood Trimmed Manager's Task Chair, Khaki",FUR-CH-10003774-0
FUR-CH-10004853,Furniture,Chairs,"Global Manager's Adjustable Task Chair, Storm",FUR-CH-10004853-0
FUR-FU-10003773,Furniture,Furnishings,Eldon Cleatmat Plus Chair Mats for High Pile Carpets,FUR-FU-10003773-0
FUR-TA-10001520,Furniture,Tables,"Lesro Sheffield Collection Coffee Table, End Table, Center Table, Corner Table",FUR-TA-10001520-0
FUR-CH-10002126,Furniture,Chairs,Hon Deluxe Fabric Upholstered Stacking Chairs,FUR-CH-10002126-0
FUR-FU-10001546,Furniture,Furnishings,Dana Swing-Arm Lamps,FUR-FU-10001546-0
FUR-FU-10001756,Furniture,Furnishings,"Eldon Expressions Desk Accessory, Wood Photo Frame, Mahogany",FUR-FU-10001756-0
FUR-FU-10002240,Furniture,Furnishings,Nu-Dell EZ-Mount Plastic Wall Frames,FUR-FU-10002240-0
FUR-TA-10001768,Furniture,Tables,Hon Racetrack Conference Tables,FUR-TA-10001768-0
FUR-TA-10003837,Furniture,Tables,Anderson Hickey Conga Table Tops & Accessories,FUR-TA-10003837-0
FUR-FU-10001215,Furniture,Furnishings,"Howard Miller 11-1/2"" Diameter Brentwood Wall Clock",FUR-FU-10001215-0
FUR-FU-10003464,Furniture,Furnishings,"Seth Thomas 8 1/2"" Cubicle Clock",FUR-FU-10003464-0
FUR-TA-10003392,Furniture,Tables,Global Adaptabilities Conference Tables,FUR-TA-10003392-0
FUR-TA-10004289,Furniture,Tables,BoxOffice By Design Rectangular and Half-Moon Meeting Room Tables,FUR-TA-10004289-0
FUR-BO-10002916,Furniture,Bookcases,"Rush Hierlooms Collection 1"" Thick Stackable Bookcases",FUR-BO-10002916-0
FUR-FU-10000521,Furniture,Furnishings,"Seth Thomas 14"" Putty-Colored Wall Clock",FUR-FU-10000521-0
FUR-FU-10003039,Furniture,Furnishings,"Howard Miller 11-1/2"" Diameter Grantwood Wall Clock",FUR-FU-10003039-0
FUR-CH-10002084,Furniture,Chairs,Hon Mobius Operator's Chair,FUR-CH-10002084-0
FUR-FU-10001185,Furniture,Furnishings,"Advantus Employee of the Month Certificate Frame, 11 x 13-1/2",FUR-FU-10001185-0
FUR-CH-10001545,Furniture,Chairs,Hon Comfortask Task/Swivel Chairs,FUR-CH-10001545-0
FUR-FU-10003798,Furniture,Furnishings,"Ultra Door Kickplate, 8""H x 34""W",FUR-FU-10003798-0
FUR-FU-10004587,Furniture,Furnishings,"GE General Use Halogen Bulbs, 100 Watts, 1 Bulb per Pack",FUR-FU-10004587-0
FUR-FU-10004909,Furniture,Furnishings,Contemporary Wood/Metal Frame,FUR-FU-10004909-0
FUR-BO-10000468,Furniture,Bookcases,O'Sullivan 2-Shelf Heavy-Duty Bookcases,FUR-BO-10000468-0
FUR-CH-10003535,Furniture,Chairs,"Global Armless Task Chair, Royal Blue",FUR-CH-10003535-0
FUR-FU-10000576,Furniture,Furnishings,Luxo Professional Fluorescent Magnifier Lamp with Clamp-Mount Base,FUR-FU-10000576-0
FUR-FU-10004952,Furniture,Furnishings,"C-Line Cubicle Keepers Polyproplyene Holder w/Velcro Back, 8-1/2x11, 25/Bx",FUR-FU-10004952-0
FUR-BO-10003159,Furniture,Bookcases,"Sauder Camden County Collection Libraries, Planked Cherry Finish",FUR-BO-10003159-0
